型番,メーカー名,数量,単価,概算価格,概要,リンク
LM358P,TEXAS INSTRUMENTS,1,69,69,電流制御フィードバックオペアンプ(2回路入),https://www.marutsu.co.jp/pc/i/93992/
2SK3176,東芝,2,653,1306,電流消費用Nch MOSFET,https://www.marutsu.co.jp/pc/i/99609/
MCP6002-I/P,Microchip,1,114.71,114.71,電圧検出ボルテージフォロワ用オペアンプ(2回路入),https://www.marutsu.co.jp/pc/i/13276197/
MCP4822-E/P-ND,Microchip,1,928,928,オペアンプ入力電圧用 2ch/12bit DAC,https://www.marutsu.co.jp/pc/i/40238/
MCP3564RT-E/ST,Microchip,1,"1,322.93",1322.93,電圧電流検出用ADC 8ch/24bit/152.6kSPS,https://www.marutsu.co.jp/pc/i/35932590/
SI8651EC-B-IS1,Skyworks Solutions Inc,1,"1,152.74",1152.74,SPIバス用デジタルアイソレータ,https://www.marutsu.co.jp/pc/i/14121542/
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,4893.38
